Game,Artists
Final Fantasy XIV: Stormblood,"Kazuya Takahashi, Akihiko Yoshida, Yusuke Mogi, Yoshikazu Takenouchi, Nagamine, Nobuyoshi Mihara, Ayumi Namae, Kenta Tanaka"
Final Fantasy XIV: Shadowbringers,"Ayumi Namae, Yusuke Mogi, Kazuya Takahashi, Koda Kazuma, Yoshitaka Amano, Kenta Tanaka, Tetsuya Nomura, Rokuma Saito, K. Okamoto, Hiroyuki Nagamine"
Final Fantasy XV,"Tetsuya Nomura, Yoshitaka Amano, Roberto Ferrari, Kenji Niki, Isamu Kamikokuryo, Kaoru Kawaguchi, Tomohiro Hasegawa, Chihiro Hashi, Yusuke Naora, Takeshi Honjo, Yuki Matsuzawa, Mizushi Sugawara, Kouta Niihara, Yusaku Nakaaki, Ken Kimura"
Final Fantasy XVI,"Kazuya Takahashi, Yoshitaka Amano"
Final Fantasy: Brave Exvius,"Yoshitaka Amano (illustrations), Visual Works (CG art)"
Final Fantasy Crystal Chronicles,Toshiyuki Itahana
Final Fantasy Crystal Chronicles: Crystal Bearers,Toshiyuki Itahana (character designs)
Final Fantasy Dimensions II,"CyDesignation, Yoshitaka Amano, Ken Sugimori"
Final Fantasy Explorers,Toshiyuki Itahana (character designs)Yoshitaka Amano (logo design)
Final Fantasy Fables: Chocobo's Dungeon,Toshiyuki Itahana (character designs)
Final Fantasy Fables: Chocobo Tales,Toshiyuki Itahana (character designs)
Final Fantasy Tactics,"Akihiko Yoshida (character designs), Hideo Minaba"
Final Fantasy Tactics Advance,"Ryoma Itoh (character designs), Akihiko Yoshida (Judge art)"
Final Fantasy Tactics A2: Grimoire of the Rift,"Ryoma Ito (character designs), Akihiko Yoshida (Judge & Grimoire art)"
Final Fantasy: The 4 Heroes of Light,"Akihiko Yoshida, Yuka Miyamoto, Tsubasa Masao, Tomomi Fujino"
Final Fantasy Type-0,"Tetsuya Nomura, Yusuke Naora, Yoshitaka Amano"
Fire Emblem: Awakening,"Wada Sachiko, Haccan, Wada Aruko, Daisuke Izuka, Homare, Shirow Miwa, Kimihiko Fujisaka, Senri Kita, Masatsugu Saito, Rika Suzuki, Koutarou Yamada, Douji Shiki, Eiji Kaneda"
Fire Emblem Echoes: Shadows of Valentia,Hidari
Fire Emblem Engage,Mika Pikazo (character design)
Fire Emblem Heroes,"Yusuke Kozaki, Maeshima Shigeki, Sachiko Wada, Itagaki Hako, Haccan, Senri Kita, Yamada Akihiro, Yura, Pikomaro, Mayo, Daisuke Izuka, Suekane Kumiko, cuboon, Miwabe Sakura, Tobi, Amagaitaro, kaya8, Kippu, Arai Teruko, Okaya, Chiko"
Fire Emblem: Path of Radiance,Senri Kita (character designs)
Fire Emblem: Radiant Dawn,Senri Kita (character designs)
Fire Emblem: The Sacred Stones,Senri Kita (character designs)
Fire Emblem: Shadow Dragon,Masamune Shirow (character illustrations)
Fire Emblem: Three Houses,Chinatsu Kurahana
Fire Emblem Warriors,???
Fist of the North Star: Ken's Rage 2,???
Fist of the North Star: LEGENDS ReVIVE,Tetsuo Hara (Kenshiro & Raoh key visual)
Flyff: Fly for Fun,Hidenori Matsubara (character designs)
Folklore,"Chihiro Mutsukura, Tetsuya Wagatsuma, Kohei Toda, Hidetomo Komaki, Issei Kutsuzawa, Sosuke Miyaura, Hiroyuki Shimai"
Fortnite,"Drew Hill, Ben Shafer, Mark Behm"
Fortress,"Daniel Conway, Jakob Tuchten, Tony Holmsten, Martin Bergquist"
Fragile Dreams: Farewell Ruins of the Moon,"Ujinawa Katsuyuki, Keiko Harada"
Front Mission,Yoshitaka Amano (character designs)
Front Mission 2,"Jun Suemi, Hiroaki Kusano"
Front Mission 3,"Akihiro Yamada, Atsushi Domoto"
Front Mission 4,Yusuke Naora (character designs)
Front Mission 5: Scars of the War,"Yusuke Naora (characters), Syun Kise (wanzers), Hiroaki Kusano (wanzers), Hideyuki Matsumoto (wanzers)"
Furi,Takashi Okazaki
Fuse,"Colin Geller (concept art), Ricky Zhang, Elliot Mallon, Jacob Norris, Darren Quach, Ken Finlayson, Carlo Arellano, Tyler West"
Game of Thrones,???
Garou: Mark of the Wolves,Takkun (character designs)
Gears of War,"James Hawkins, John Wallin"
Genji: Dawn of the Samurai,"Kyoko Saitou (character designs), Taiki Umemura (environments)"
Genshin Impact,???
Ghost of Tsushima,"Ian Jun Wei Chiew, Romain Jouandeau, John Powell, Mitch Mohrhauser, Colin Valek, Naomi Baker"
Ghost Trick,Koki Kinoshita
God of War,"Vance Kovacs, Dela Longfish, Yefim Kligerman, José Daniel Cabrera Peña, Abe Taraky, Marek Okon, Stephen Oakley, Rafael Grassetti, Johan Grenier, Luke Berliner, Cliff Childs, Annis Naeem"
God of War II,"Andy Park, Charlie Wen, Erik San Juan, Cecil Kim"
God of War III,"Cecil Kim, Andy Park, Izzy Medrano, Andrew Kim, Jung Park, Scott Seeto"
God of War: Ascension,"Izzy Medrano, Luke Berliner, Jung Park, Josh Kao, Eric Ryan, Anthony Jones"
God of War Ragnarök,"Raf Grassetti, Dela Longfish, José Cabrera, Yefim Kligerman, Shan Qiao, Vance Kovacs, Bjorn Hurri, Luke Berliner, Norris Lin, Mark Castanon, Abe Taraky, Matteo Marjoram"
God Eater 2,Koichi Itakura
God Eater 3,Koichi Itakura
Gods Eater Burst,"Koichi Itakura, Sokabe Shuji"
Golden Sun,Shin Yamanouchi (character designs)
Golden Sun: Dark Dawn,"Shin Yamanouchi (characters), Hiroshi Kajiyama (monsters), Hiroshi Kajiyama (Djinn), Kanako Horiguchi (Djinn), Masanori Sato (illustration)"
Gotham Knights,"Jianli Wu, Krist Miha, Fred Rambaud, Andre-Lang Huynh, Milan Nikolic, Emmanuel Julian"
Granado Espada,"Limha Lekan / Maxx Soul, Tomomi Kobayashi, Nocul"
Granblue Fantasy,"Hideo Minaba, Yuya Nagai, Ryoji Ohara"
Granblue Fantasy: Relink,Hideo Minaba
Granblue Fantasy Versus,"Hideaki Sawada, Hideo Minaba, Yuya Nagai, Ryoji Ohara, Benitama, ell, N.A, CyDesignation"
Grandia III,"You Yoshinari, Mitsuru Hashimoto"
Grand Theft Auto IV,"Stephen Bliss, Anthony Mcbain"
Grand Theft Auto V,???
Grand Theft Auto: San Andreas,"Ian McQue, Toks Solarin, Alisdair Wood, Rick Stirling, Alan Davidson"
Gran Turismo 6,???
Gravity Rush,"Shunsuke Saito (characters), Yoshiaki Yamaguchi"
Gravity Rush 2,Shunsuke Saito
GrimGrimoire,"Shigatake, George 'Jouji' Kamitani"
Guardians of Middle-earth,"Daryl Mandryk, Mike ""Daarken"" Lim"
Guild Wars 2,"Daniel Dociu, Kekai Kotaki, Jamie Jones, Jason Juan, Levi Hopkins, Jason Stokes, Xia Taptara, Hyojin Ahn, Richard Anderson, Matthew Barret"
Guild Wars: Eye of the North,"Daniel Dociu, Horia Dociu, Kekai Kotaki, Jaime Jones, Doug Williams, Matthew Barrett, Richard Anderson, Jason Stokes, Xia Taptara, Kristen Perry"
Guild Wars Factions,"Daniel Dociu, Horia Dociu, Kekai Kotaki, Jason Stokes, Doug Williams, Richard Anderson, Katy Hargrove, Matthew Barrett, Aaron Coberly, Shawn Sharp"
Guild Wars Nightfall,"Daniel Dociu, Horia Dociu, Kekai Kotaki, Jaime Jones, Doug Williams, Katy Hargrove, Xia Taptarakunekane, Aaron Coberly, Matthew Barrett, Richard Anderson"
Guild Wars Prophecies,"Daniel Dociu, Horia Dociu, Kekaipo'inalu Kotaki, Doug Williams, Aaron Coberly, Matthew Barrett, Richard Anderson"
Guilty Gear 2: Overture,Daisuke Ishiwatari
Guilty Gear Isuka,Daisuke Ishiwatari (character designs)
Guilty Gear -Strive-,"Daisuke Ishiwatari, Hidehiko Sakamura"
Guilty Gear Vastedge XT,???
Guilty Gear X2,"Daisuke Ishiwatari, Emiko Iwasaki"
Guilty Gear X2 #Reload,Emiko Iwasaki
Guilty Gear Xrd -Sign-,"Daisuke Ishiwatari, Hidehiko Sakamura"
Guilty Gear XX Accent Core,???
Guilty Gear XX Accent Core Plus,???
GunZ 2: The Second Duel,In-Su Park
Gwent: The Witcher Card Game,"Anna Podedworna, Bryan Sola, Lorenzo Mastroianni, Manuel Castañón, Grafit Studio"
.hack//G.U. vol. 1//Rebirth,"Yoshiyuki Sadamoto (character designs), Inumaru, Seiichiro Hosokawa"
.hack//G.U. vol. 2//Reminisce,Yoshiyuki Sadamoto (character designs)
.hack//G.U. vol. 3//Redemption,Yoshiyuki Sadamoto (character designs)
Halo 2,"Shi Kai Wang, Eddie Smith, Robt McLees, Lorraine McLees, Craig Mullins"
Halo 3,"Shi Kai Wang, Arnold Ayala, Eric Arroyo, Travis Brady, Raj Nattam, Tom Doyle"
Halo 3: ODST,Dorje Bellbrook
Halo 4,"Nicolas ""Sparth"" Bouvier, Jonathan Bach, Josh Kao, Kenneth Scott, Paul Richards, Kory Lynn Hubbell, Gabriel Garza, John Liberto"
Halo Infinite,"Nicolas ""Sparth"" Bouvier, Josh Kao, Daniel Chavez, Darren Bacon, Martin Deschambault, David Heidhoff, Theo Stylianides, Sergey Snegirev, Molly McLaughlin, Kory Lynn Hubbell, Ruan Jia, Roman Semenenko"
Halo: Reach,???
Harvestella,???
Harvest Moon: The Tale of Two Towns,Igusa Matsuyama
Haven,"Simon ""Hutt"" Troussellier, Koyorin, Florian Coudray, Benoit ""Beloup"" Leloup"
Hearthstone: Heroes of Warcraft,"Glenn Rane, Laurel Austin, Alex Horley Orlandelli, Samwise Didier, Steve Hui, Jason Chan, Greg Staples, Monica Langlois, John Polidora, Dave Berggren, Brian Despain, Mark Gibbons"
Heavenly Sword,Alessandro Taini (characters & environments)
Heavy Rain,"François Baranger, Benoit Godde"
Heroes of Mana,"Ryoma Ito, Sawako Kobayashi, Takehiko Yamamoto, Akira Oguro"
Heroes of the Storm,"Luke Mancini, Phill Gonzales, Danny Saint-Hilaire, Wanmin Gee, Ted Park, Vadim, David Harrington, Jarred Everson, Samwise Didier, Andrew Kinabrew"
HEX: Shards of Fate,"Filip Acovic, Velvet Engine, Zoltan Boros, Jakub Kasper, Michael Komarck"
Hitman: Absolution,"Tom Isaksen (3D characters), Rasmus Berggreen, Jonas Springborg, Jan Ditlev Christensen"
Horizon Forbidden West,"Ilya Golitsyn, Oscar Römer, Choro Choi, Luc de Haan, Constantin Marin, Floris Didden, Christoph Stryczek, Kevin Goeke, Marta Grajper, Ewoud Luppens, Josef Stängl, MOOD Visuals, Karakter Design Studio"
Horizon Zero Dawn,"Miguel Angel Martinez, Luc de Haan, Ilya Golitsyn, Jorry Rosman, Erik van Helvoirt, Joseph Noël, Viktor Jonsson, Suzanne Helmigh, Viktor Fetsch, Lloyd Allan, Floris Didden, Mike Azevedo"
Hunted: The Demon's Forge,"Tyler James, Kurt Papstein, Rob Nesler, Ryan Benno"
Hyperdimension Neptunia,Tsunako (character designs)
Hyrule Warriors,???
Hyrule Warriors: Age of Calamity,???
I am Setsuna,Toi8
Immortals Fenyx Rising,"Jing Cherng Wong, Gabriel Blain, Fernanders Koak, Asim Steckel, Hugo Puzzuoli, Kira Wigg, JC Wong"
Immortal Soul: Black Survival,Yoon Jung Choi
inFamous,"Edward Pun (cut scene art), Art Babyan (settings art), Mike Haney (cut scene art), Wesley Burt"
inFamous 2,"James Paick, Art Babayan"
inFamous: Second Son,"Levi Hopkins, Horia Dociu, Neal Hanson, Susan Luo"
Infinite Crisis,"Phroilan Gardner, Devon Cady-Lee, Natalie Russo, Marat Ars, Aamir Karim"
Infinite Undiscovery,Yukihiro Kajimoto (character designs)
Injustice: Gods Among Us,"Marco Nelor, Justin Murray, Solomon Gaitan, Hunter Schulz, Atomhawk Design"
Iron Harvest,Jakub Rozalski
Jak & Daxter: The Precursor Legacy,Bob Rafei
Jak II,Bob Rafei
Jak 3,Bob Rafei
JoJo's Bizarre Adventure: All Star Battle,Hirohiko Araki (original designs)
Jotun,"Alex Boyer, J.A.G., Annejulie Painchaud, M. Boisclair, Darnell Lysius-Dicette, M.C. Lévesque"
Journey,Matthew Nava
Kena: Bridge of Spirits,"Chris Karbach, Kun Vic, Tyler Edlin, Florian Coudray, Kalen Chock, Neil Richards"
Kid Icarus: Uprising,???
Killer is Dead,Tony Holmsten (concept art)
Killzone 2,"Xavier Marquis, Matt Allsopp, Miguel Martinez"
Killzone: Shadow Fall,"Efgeni Bischoff, Christopher Brandstrom, Arno Schmitz, Madina Chionidi"
Kingdom Hearts,Tetsuya Nomura
Kingdom Hearts II,Tetsuya Nomura (character designs)
Kingdom Hearts 3,Tetsuya Nomura (character designs)
Kingdom Hearts 358/2 Days,Tetsuya Nomura (character designs)
Kingdom Hearts 3D: Dream Drop Distance,Tetsuya Nomura (character designs)
Kingdom Hearts: Birth by Sleep,Tetsuya Nomura
Kingdom Hearts Re:coded,Tetsuya Nomura (main visual)
Kingdom Hearts Union χ [Cross],Tetsuya Nomura
Kingdoms of Amalur: Reckoning,"Sean Andrew Murray, Taylor Fischer, Shaun Martin, Martin Kau, Jeremy Enecio, Kat Berkeley, Jay Gillen, Eric Deschamps, Jonathan Kirtz, Mike ""Daarken"" Lim"
The King of Fighters '98: Ultimate Match,"Eisuke Ogura, Hiroaki (cover illustration)"
The King of Fighters '99,"Shinkiro (characters), Hiroaki (promotional art)"
The King of Fighters 2000,"Shinkiro (characters), Hiroaki (promotional arts)"
The King of Fighters 2001,Nona (character designs)
The King of Fighters 2002,Nona (character designs)
The King of Fighters 2003,Falcoon (character designs)
The King of Fighters: Maximum Impact,Falcoon (initial character designs)
The King of Fighters: Maximum Impact 2,Falcoon (initial character designs)
The King of Fighters NeoWave,Nakano Tomokazu (character designs)
The King of Fighters XI,Hiroaki (character designs)
The King of Fighters XII,"Eisuke Ogura (character designs), Nona"
The King of Fighters XIII,"Eisuke Ogura (character designs), Nona"
The King of Fighters XIV,"Eisuke Ogura, Hiroaki, Ogura, Falcoon, Tonko, Daisuke Nakazawa, S.N.X, Yumi Saji"
The King of Fighters XV,"Tomohiro Nakata (character designs & illustrations), Eisuke Ogura"
The King of Fighters (Series),"Shinkiro, Hiroaki, Eiji Shiroi"
Kirby's Return to Dream Land,???
Kirby: Triple Deluxe,???
Knights of Glory,Akihiko Yoshida
Labyrinth of Galleria: The Moon Society,Takehito Harada
La Pucelle: Tactics,"Yoshiharu Nomura, Ryoji Majima"
The Last Blade 2,Tonko (Aki Senno)
The Last Guardian,Fumito Ueda
The Last of Us,"James Paick, Eytan Zana, Marek Okon, Hyoung Nam, Aaron Limonick, John Sweeney, Shaddy Safadi, Alexandria Neonakis, Nick Gindraux, Maciej Kuciara"
The Last of Us Part II,"John Sweeney, Alex Neonakis, Hyoung Taek Nam, Ashley Swidowsky, Richard Lyons, Saskia Gutekunst, Robby Johnson, Aaron Limonick, Balazs Agoston, Eytan Zana, Sebastian Gromann, Matteo Marjoram"
Last Ranker,Tatsuya Yoshikawa (character designs)
Last Rebellion,"Juno Jeong, KKUEM, Hyung-tae Kim, Eiji Kaneda, Haruhiko Mikimoto, Jun Sumie, Tomomi Kobayashi"
The Last Remnant,"Yusuke Naora, Kimihiko Miyamae, Roberto Ferrari"
The Last Story,Kimihiko Fujisaka
League of Legends,"Katie De Sousa, Michelle Hoefener, David Rapoza, Michal Ivan, Joshua Smith, Eoin Colgan, Paul Kwon, Eduardo Gonzalez, Jason Chan, SixMoreVodka"
Left Alive,"Yoji Shinkawa, Takayuki Yanase, Yuya Ishihata"
The Legendary Starfy,Koutarou Shinoki
The Legend of Dragoon,"Tatsuya Nakamura, Kenichi Iwata, Hirohiko Iyoku"
The Legend of Heroes: Kuro no Kiseki,???
The Legend of Heroes: Trails of Cold Steel,Nakae
The Legend of Heroes: Trails of Cold Steel II,Nakae
The Legend of Heroes: Trails of Cold Steel III,Nakae
Legend of Legaia,"Kazuhiro Miyawaki, Natsumi Arisawa, Takeshi Ohtani, Taketoyo Ogawa"
Legend of Mana,"Shinichi Kameoka (character designs), Koji Tsuda"
The Legend of Zelda: A Link Between Worlds,Yusuke Nakano
The Legend of Zelda: Breath of the Wild,"Takumi Wada, Yusuke Nakano, Hirohito Shinoda, Yuko Miyakawa, Yoshiyuki Oyama, Yasutomo Nishire"
The Legend of Zelda: Link's Awakening (2019),???
The Legend of Zelda: Majora's Mask,"Yoshiyuki Oyama, Satomi Maekawa, Satoru Takizawa, Yoshiki Haruhana, Daisuke Kageyama"
The Legend of Zelda: Majora's Mask 3D,"Yoshiyuki Oyama, Satomi Maekawa, Satoru Takizawa, Yoshiki Haruhana, Daisuke Kageyama"
The Legend of Zelda: Ocarina of Time,"Yusuke Nakano, Satomi Maekawa, Yoshiki Haruhana, Satoru Takizawa"
The Legend of Zelda: Ocarina of Time 3D,"Yusuke Nakano, Minoru Maeda, Wataru Yamaguchi, Yoshiki Haruhana, Yoshiaki Koizumi, Satomi Maekawa, Jin Ikeda, Satoru Takizawa"
The Legend of Zelda: Phantom Hourglass,"Yusuke Nakano (illust), Daiki Nishioka, Yuka Kotaki, Takashi Ito (logo), Sachiko Nakamichi (logo)"
The Legend of Zelda: Skyward Sword,"Takumi Wada, Yusuke Nakano"
The Legend of Zelda: Spirit Tracks,Yusuke Nakano (character designs)
The Legend of Zelda: Tears of the Kingdom,???
The Legend of Zelda: The Minish Cap,Haruki Suetsugu
The Legend of Zelda: The Wind Waker,"Yoshiyuki Oyama, Yoshiki Haruhana, Satoru Takizawa, Masanao Arimoto, Daisuke Kageyama"
The Legend of Zelda: The Wind Waker HD,"Daisuke Kageyama, Yoshiyuki Oyama, Yo Ohnishi, Ryuji Kobayashi, Keisuke Nishimori, Koji Takahashi, Yoshiki Haruhana, Satoru Takizawa, Masanao Arimoto"
The Legend of Zelda: Tri Force Heroes,???
The Legend of Zelda: Twilight Princess,"Yusuke Nakano, Satomi Asakawa, Yoshiyuki Oyama, Michiko Iwasawa"
Legends of Runeterra,"Monica Pałosz, Gerald Parel, Marko Djurdjevic, Claudiu-Antoniu Magherusan, Michal Ivan, Hugo Lam, Högni J. Mohr, Alessandro Poli, Valentin Gloaguen, Maki Planas Mata, William Gist, Dao Trong Le, Chris Campbell, SixMoreVodka, Kudos Productions"
Lego City Undercover,???
Life Is Strange,"Michel Koch, Edouard Caplain, Lukas Esch, Fred Augis"
Lightning Returns: Final Fantasy XIII,"Isamu Kamikokuryo, Tetsuya Nomura, Toshitaka Matsuda"
Lime Odyssey: The Chronicles of Orta,Haccan (character designs)
Lineage II,"Juno Jeong, Fufuhol / Lee Myung-un"
LittleBigPlanet,???
Little King's Story,"Hideo Minaba, Kazuyuki Kurashima"
Live A Live (Remake),Naoki Ikushima
The Lord of the Rings: War in the North,"Ilya Nazarov, Steve Firchow, Philip Straub"
The Lost Child,Sawaki Takeyasu
Lost Epic,Namie
Lost Odyssey,Takehiko Inoue (character designs)
Lost Order,CyDesignation
Lost Planet: Extreme Condition,???
Lost Planet 2,???
Luigi's Mansion: Dark Moon,???
Luminous Arc,Shibano Kaito (character designs)
Luminous Arc 2,Shibano Kaito (character designs)
Mabinogi II: Arena,Han AhReum
Madworld,Masaki Yamanaka (characters & settings)
Magical Starsign,"Shinichi Kameoka, Shinobu Nagata"
Magna Carta II,Hyung-tae Kim (character designs)
Magna Carta: The Phantom of Avalanche,Hyung-Tae Kim (character designs)
Magna Carta: Tears of Blood,"Hyung-Tae Kim (character designs), Eun-Kyung Lee (CG art), Kyung-Jin Lee (monsters)"
Makai Kingdom: Chronicles of the Sacred Tome,"Takehito Harada (characters), Shunya Yamashita, Hitoshi Yoneda, Ken Sugawara, Masashi Ueda, Satoshi Ito, Tomomi Ozaki, Yasuhiro Nakura"
Mana Khemia: Alchemists of Al-Revis,Yoshizumi Kazuyuki (character designs)
Mana Khemia 2: Fall of Alchemy,Yoshizumi Kazuyuki (character designs)
Mario & Luigi: Dream Team,???
Mario & Luigi: Partners in Time,Masanori Sato
Mario & Luigi: Superstar Saga,Masanori Sato
Mario & Sonic at the London 2012 Olympic Games,???
Mario & Sonic at the Olympic Games,???
Mario & Sonic at the Olympic Games Tokyo 2020,???
Mario & Sonic at the Olympic Winter Games,???
Mario Hoops 3 on 3,"Masanori Sato, Yusuke Nakano, Gen Kobayashi, Nanako Kinoshita, Toki Iida, Yosuke Hamada"
Mario Kart 7,???
Mario Kart 8,???
Mario Party 9,???
Mario Strikers: Battle League,???
Mario Strikers Charged,"Masanori Sato, Yusuke Nakano, Ryusuke Yoshida, Shigehisa Nakaue"
Mario Tennis Aces,???
Marvel vs. Capcom 2: New Age of Heroes,CRMK
Marvel vs. Capcom 2 (2009),"Joe Vriens, John Diamonon"
Marvel vs. Capcom 3: Fate of Two Worlds,"Shinkiro (posters), Kinu Nishimura (promotional art), Adi Granov (box artwork)"
Marvel vs. Capcom: Infinite,Shinkiro (poster art)
Mary Skelter: Nightmares,???
Mass Effect,Matt Rhodes
Mass Effect 2,"Matt Rhodes, Brian Sum, Ben Huen, Mikko Kinnunen, Jaemus Wurzbach, Leroy Chen, Ken Finlayson, Rion Swanson"
Mass Effect 3,"Brian Sum, Benjamin Huen, Rion Swanson, Mike Lim, Herbert Lowis, Rodrigue Pralier, Matt Rhodes"
Mass Effect: Andromeda,"Brian Sum, Ben Lo, Kenneth Fairclough, Ramil Sunga, Herbert Lowis"
Mega Man 9,Keiji Inafune
Mega Man 10,"Keiji Inafune (characters), iam8bit (promo poster)"
Mega Man 11,Yuji Ishihara
Mega Man Battle Network 5,"Shinsuke Komaki, Keisuke Mizuno, Yuji Ishihara, Hayato Kaji, Tokiko Nakashima, Tsutomu Namegaya, Hidenori Aoki, Sota Iwasaki"
Mega Man Battle Network 6,"Shinsuke Komaki, Keisuke Mizuno, Yuji Ishihara, Hayato Kaji, Tokiko Nakashima, Toya Hamanaga, Sohei Nakamura, Keisuke Takahashi"
Mega Man Legends,"Hideki Ishikawa, Haruki Suetsugu, Noriko Katou, Yuji Ishihara"
Mega Man Legends 2,Hideki Ishikawa
Mega Man Legends 3,"Hideki Ishikawa, Tatsuya Yoshikawa, Shinsuke Komaki, Sensei, Toru Nakayama, Riuji Higurashi, Kazushi Itou, Hayato Kaji, Keiji Inafune"
Mega Man Online,Kang Dong Hwa (environments)
Mega Man Powered Up,"Tatsuya Yoshikawa, Keiji Inafune"
Mega Man (series),"Keiji Inafune, Uji, Hideki"
Mega Man Star Force,"Shinsuke Komaki, Keisuke Mizuno, Manami Yoshino, Yuji Ishihara, Tokiko Nakashima"
Mega Man X DiVE,Keisuke Mizuno (character design)
Mega Man Zero,Toru Nakayama
Mega Man Zero 2,Toru Nakayama
Mega Man Zero 3,Toru Nakayama
Mega Man Zero 4,"Toru Nakayama, Hirokatsu Maeda"
Mega Man ZX Advent,Makoto Yabe
Metal Gear Ac!d,Masao Tsubasa
Metal Gear Ac!d 2,"Masao Tsubasa, Yoji Shinkawa"
Metal Gear Online,A.J. Trahan
Metal Gear Rising: Revengeance,"Yoji Shinkawa, Yanase Takayuki, Chihoko Uchiyama, Yonghee Cho, Kenichirou Yoshimura"
Metal Gear Solid,Yoji Shinkawa
Metal Gear Solid 2: Sons of Liberty,Yoji Shinkawa
Metal Gear Solid 3: Snake Eater,Yoji Shinkawa
Metal Gear Solid 4: Guns of the Patriots,"Yoji Shinkawa, Takayuki Yanase, Chihoko Uchiyama, Takahiro Omori, Juntaro Saito, Nobuyoshi Nishimura"
Metal Gear Solid V,"Yoji Shinkawa, Ikuya Nakamura"
Metal Gear Solid: Peace Walker,Yoji Shinkawa (character designs)
Metal Max Xeno,"Non Oda (characters), Atsuji Yamamoto (monsters)"
Metro 2033,Andrey Tkachenko
Metro: Last Light,Vlad Tkach
Metroid: Other M,???
Metroid Prime,"Todd Keller, Andrew Jones, Ryan Powell, Don Hogan, Danny Richardson, Chuck Crist, Luis Ramirez, Alejandro Roura"
Metroid Prime 3: Corruption,"Todd Keller, Andrew Jones, Ryan Powell, Chuck Crist, Danny Richardson, Luis Ramirez, Elben Schafers, Elizabeth Foster"
Metroid Prime Hunters,???
Middle-earth: Shadow of Mordor,Daryl Mandryk
Mighty No. 9,"Shinsuke Komaki, Yuji Natsume"
Million Lore,"Hee Chul An, Donfoo, Studio NCG"
MIND≒0,Kyo
Mirror's Edge,"Mattias Häggström, Johannes Söderqvist, Pierre Hannah"
Mobile Legends: Bang Bang,"Alden Liu, Lynsley Brito, SJbrush"
Mobius Final Fantasy,"Toshiyuki Itahana, Toshitaka Matsuda, Shintaro Takai, Bayard Wu, Yu Cheng Hong, Jeremy Chong, Suranaki, Nurikabe Garou, Livia Prima, Lasahido, Laura Sava, VictorBang, Wisnu Tan, LQH, Billy Christian, Rakuen"
Modern Combat 5: Blackout,"George Munteanu, Alex Ichim, Adrian Mihai Marchidan"
Monark,so-bin
Monster Hunter 3 (tri-),???
Monster Hunter 4,???
Monster Hunter Frontier,???
Monster Hunter Rise,???
Monster Hunter Rise: Sunbreak,???
Monster Hunter Stories 2: Wings of Ruin,Takahiro Kawano
Monster Hunter: World,???
Mortal Kombat (2011),"Jean-Francois Ferland, Atomhawk Design Ltd."
Mortal Kombat: Deadly Alliance,"Steve Beran, Luis Mangubat, Herman Sanchez, Alan Ditzig, Karl Patton"
Mortal Kombat: Deception,"Steve Beran, Luis Mangubat, Herman Sanchez, Jennifer Hedrick"
Mortal Kombat vs. DC Universe,"Steve Beran, Vincent Proce, Bruno Werneck, Mike Tassie, Stephan Martiniere"
Mortal Kombat X,"Marco Nelor, Justin Murray, Bernard Beneteau, Solomon Gaitan, Atomhawk Design"
Mortal Kombat 11,"Atomhawk Design, Alexei Konev, Lemon Sky Studios"
Mortal Online,Hannu Kokkonen
Mortal Shell,"Artem Demura, Natalya Glushenkova, Eugenia Lysa, Vitaly Bulgarov, Dmitry Parkin"
MotorStorm Apocalypse,Steve Hird
Muramasa: The Demon Blade,"Shigatake, Noma, George Kamitani"
Murasaki Baby,???
Musashi: Samurai Legend,"Tetsuya Nomura, Gen Kobayashi"
Namco × Capcom,Takuji Kawano
Naruto: Rise of a Ninja,Joel Dos Reis Viegas / Feerik
Naruto Shippuden: Clash of Ninja Revolution III,???
Naruto: Ultimate Ninja Storm,???
NeoGeo Battle Coliseum,Eisuke Ogura
Neo: The World Ends with You,"Tetsuya Nomura, Gen Kobayashi, Miki Yamashita"
Neverwinter Nights,"Marc Holmes, Sung Kim, Sam Wood, Todd Lockwood"
New Super Mario Bros.,???
New Super Mario Bros. 2,???
New Super Mario Bros. U,???
NieR: Automata,"Akihiko Yoshida, Yuya Nagai, Toshiyuki Itahana, Hisayoshi Kijima, Koda Kazuma"
NieR Reincarnation,"Akihiko Yoshida, Koda Kazuma"
NieR Replicant ver.1.22474487139...,"Akihiko Yoshida, Toshiyuki Itahana, Koda Kazuma"
Nights of Azure,Sakai Yoshikuni
Nights of Azure 2: Bride of the New Moon,Sakai Yoshikuni
Ninety-Nine Nights,???
Ninja Blade,Michael Ting Yu Chang (promotional posters)
Ninja Gaiden 3,???
Ninja Gaiden 3: Razor's Edge,???
Ninja Gaiden Sigma 2,"Hirohisa Kaneko, Mariko Hirokane, Ken Furuya, Nozomu Sugiyamam"
Ni no Kuni: Wrath of the White Witch,???
Ni no Kuni II: Revenant Kingdom,"Yoshiyuki Momose, Nobuyuki Yanai, Hiroyuki Maeda, Hiroshi Matsuyama"
Nioh 2,???
Nobunaga's Ambition: Sphere of Influence,???
No More Heroes,"Yusuke Kozaki / KYMG, Shigeto Koyama, Okama"
No More Heroes 2: Desperate Struggle,"Yusuke Kozaki / KYMG, Ren Yamazaki"
No More Heroes III,"Yusuke Kozaki / KYMG, Masanori Ushiki, Inio Asano, Takashi Miyamoto, Darick Robertson, Scott Kester, Mari Shimazaki, Kenichiro Mizuno"
Nosgoth,???
